size,Koeficienty,Jednoduchy,Karatsuba
131072,0.0843571,0.145086,0.0572958
262144,0.285204,0.509793,0.219468
524288,1.05732,2.14788,0.842048
1048576,4.24359,10.2986,3.29189
2097152,17.5242,40.4475,12.8792
4194304,71.1242,162.317,54.0684
