size,Koeficienty,Jednoduchy,Karatsuba
131072,0.0854896,0.1294,0.06174
262144,0.321051,0.475966,0.218586
524288,1.36467,2.29376,0.842452
1048576,4.5525,8.87122,3.54319
2097152,17.5148,35.7759,13.6525
4194304,69.9305,169.244,52.4768
