size,Koeficienty,Jednoduchy,Karatsuba
128,0.000161654,0.000102896,7.8367e-05
256,0.000390946,0.000300489,0.000240331
512,0.000998988,0.000762965,0.000585591
1024,0.00628167,0.00511972,0.00262331
2048,0.0167169,0.0121113,0.00927621
4096,0.0806858,0.0545575,0.0364783
8192,0.256453,0.19307,0.143345
16384,1.07466,0.76957,0.576316
32768,4.04626,3.10146,2.38503
65536,16.5337,13.1491,9.27389
131072,68.6499,52.6856,37.8149
