size,Koeficienty,Jednoduchy,Karatsuba
131072,0.0960441,0.113904,0.07065
262144,0.321039,0.446217,0.246123
524288,1.0847,1.87277,0.886423
1048576,4.24096,8.73918,3.24556
2097152,16.9561,37.2632,13.2341
4194304,69.0756,147.189,51.1044
