size,Koeficienty,Jednoduchy,Karatsuba
131072,0.0785004,0.174306,0.0545528
262144,0.261149,0.603828,0.206618
524288,1.04124,2.85443,0.791719
1048576,4.24795,18.6793,3.14448
2097152,17.3071,71.2586,12.8261
4194304,69.7186,288.253,52.9671
